dist,payoff,exact,q_mean,abs_err,pct_err,N,M,tau,noise_std,length_scale,shots,time_s
weibull,deductible_with_limit,0.9234985804117545,1.2068217630832698,0.28332318267151535,30.679330610902706,32,8,5,0.001,3.0,32768,0.894901600000594
weibull,stop_loss,0.9256128274064236,1.2066060864288726,0.280993259022449,30.357537266396246,32,8,5,0.001,3.0,32768,0.9086572999985947
pareto,ordinary_deductible,0.486,0.703527007670309,0.21752700767030897,44.75864355356152,32,8,5,0.001,3.0,65536,1.028886899999634
pareto,franchise_deductible,1.485,2.7915684099345888,1.3065684099345887,87.9844047093999,32,8,5,0.001,3.0,65536,1.0333989999999176
pareto,policy_limit,1.4750000000538668,2.9448083309073843,1.4698083308535175,99.64802242710782,32,8,5,0.001,3.0,65536,1.0276804999994056
pareto,deductible_with_limit,0.4811111111370867,0.6969167905209079,0.21580567938382123,44.85568393416922,32,8,5,0.001,3.0,65536,1.015899800000625
pareto,stop_loss,0.486,0.703527007670309,0.21752700767030897,44.75864355356152,32,8,5,0.001,3.0,65536,1.026767800001835
lognormal,ordinary_deductible,0.8579739047504147,0.8599501372453228,0.001976232494908081,0.23033713309532053,32,8,5,0.001,3.0,65536,1.0003801999991992
lognormal,franchise_deductible,1.3569725786927767,1.4456391355148335,0.08866655682205682,6.534145067800315,32,8,5,0.001,3.0,65536,1.0047164000025077
lognormal,policy_limit,1.4655262805158773,1.7658911901533636,0.3003649096374863,20.495361538774684,32,8,5,0.001,3.0,65536,1.0071023999989848
lognormal,deductible_with_limit,0.7484181837430338,0.7614235433658029,0.013005359622769053,1.7377129398067095,32,8,5,0.001,3.0,65536,1.0272722999980033
lognormal,stop_loss,0.8579739047504147,0.8599501372453228,0.001976232494908081,0.23033713309532053,32,8,5,0.001,3.0,65536,0.9678300000014133
gamma,ordinary_deductible,1.0943071914960318,1.31948565535267,0.2251784638566381,20.577262546250445,32,8,5,0.001,3.0,65536,0.9500303000022541
gamma,franchise_deductible,1.829066071877044,2.32871910469008,0.4996530328130362,27.317385659025256,32,8,5,0.001,3.0,65536,0.9459231000000727
gamma,policy_limit,1.9478343710072936,2.530918494108002,0.5830841231007082,29.934995078620315,32,8,5,0.001,3.0,65536,0.9554339999995136
gamma,deductible_with_limit,1.0788083093197212,1.303522738960257,0.2247144296405359,20.82987567849168,32,8,5,0.001,3.0,65536,0.9489599999978964
gamma,stop_loss,1.0943071914960318,1.31948565535267,0.2251784638566381,20.577262546250445,32,8,5,0.001,3.0,65536,0.9594039000003249
weibull,ordinary_deductible,0.9256128274064236,1.2003307307225295,0.2747179033161059,29.67956959778401,32,8,5,0.001,3.0,65536,0.9692294000014954
weibull,franchise_deductible,1.6268013317246828,2.0944577083241542,0.46765637659947146,28.746987568769516,32,8,5,0.001,3.0,65536,0.9630828000008478
weibull,policy_limit,1.7853605191923019,2.1758379804173495,0.3904774612250477,21.871070690064318,32,8,5,0.001,3.0,65536,0.9598611000001256
weibull,deductible_with_limit,0.9234985804117545,1.1995831488613213,0.27608456844956686,29.89550545128838,32,8,5,0.001,3.0,65536,0.9605852000022423
weibull,stop_loss,0.9256128274064236,1.2003307307225295,0.2747179033161059,29.67956959778401,32,8,5,0.001,3.0,65536,0.9771524999996473
pareto,ordinary_deductible,0.486,0.633264618369948,0.14726461836994797,30.30136180451605,32,8,6,0.001,3.0,32768,1.164817299999413
pareto,franchise_deductible,1.485,2.4459001777665668,0.9609001777665667,64.70708267788328,32,8,6,0.001,3.0,32768,1.1246793000027537
pareto,policy_limit,1.4750000000538668,2.5659223478303104,1.0909223477764436,73.96083713468497,32,8,6,0.001,3.0,32768,1.1250991999986582
pareto,deductible_with_limit,0.4811111111370867,0.6275069140003154,0.14639580286322873,30.42868881519451,32,8,6,0.001,3.0,32768,1.112150599998131
pareto,stop_loss,0.486,0.633264618369948,0.14726461836994797,30.30136180451605,32,8,6,0.001,3.0,32768,1.1459408999980951
lognormal,ordinary_deductible,0.8579739047504147,0.8751903054905755,0.017216400740160842,2.006634542710143,32,8,6,0.001,3.0,32768,1.1105070999983582
lognormal,franchise_deductible,1.3569725786927767,1.3821265282811086,0.025153949588331947,1.8536814953595973,32,8,6,0.001,3.0,32768,1.0980066000010993
lognormal,policy_limit,1.4655262805158773,1.6763711446783713,0.21084486416249404,14.386972582182212,32,8,6,0.001,3.0,32768,1.1399162000016076
lognormal,deductible_with_limit,0.7484181837430338,0.7537757020158686,0.005357518272834816,0.7158455512185012,32,8,6,0.001,3.0,32768,1.1068092999994406
lognormal,stop_loss,0.8579739047504147,0.8751903054905755,0.017216400740160842,2.006634542710143,32,8,6,0.001,3.0,32768,1.1117262999978266
gamma,ordinary_deductible,1.0943071914960318,1.1182747900259318,0.023967598529899936,2.1902075318662337,32,8,6,0.001,3.0,32768,1.1083140000009735
gamma,franchise_deductible,1.829066071877044,1.9497488711703121,0.1206827992932682,6.598055759102229,32,8,6,0.001,3.0,32768,1.1591398000018671
gamma,policy_limit,1.9478343710072936,2.1312843914201705,0.18345002041287684,9.418152957122755,32,8,6,0.001,3.0,32768,1.0994946999999229
gamma,deductible_with_limit,1.0788083093197212,1.1000942031417933,0.021285893822072133,1.973093239844868,32,8,6,0.001,3.0,32768,1.097353799999837
gamma,stop_loss,1.0943071914960318,1.1182747900259318,0.023967598529899936,2.1902075318662337,32,8,6,0.001,3.0,32768,1.106386499999644
weibull,ordinary_deductible,0.9256128274064236,1.2297595731560618,0.3041467457496382,32.858959679919344,32,8,6,0.001,3.0,32768,1.1073114999999234
weibull,franchise_deductible,1.6268013317246828,2.1884821391108242,0.5616808073861415,34.52669950734952,32,8,6,0.001,3.0,32768,1.135941399999865
weibull,policy_limit,1.7853605191923019,2.326300981277942,0.54094046208564,30.298668323323387,32,8,6,0.001,3.0,32768,1.119615800002066
weibull,deductible_with_limit,0.9234985804117545,1.2283457845113208,0.30484720409956634,33.010034943816166,32,8,6,0.001,3.0,32768,1.1240398000009009
weibull,stop_loss,0.9256128274064236,1.2297595731560618,0.3041467457496382,32.858959679919344,32,8,6,0.001,3.0,32768,1.1286896999990859
pareto,ordinary_deductible,0.486,0.6145518271141757,0.12855182711417568,26.45099323336948,32,8,6,0.001,3.0,65536,1.2668015000017476
pareto,franchise_deductible,1.485,2.2927031372836932,0.8077031372836931,54.390783655467544,32,8,6,0.001,3.0,65536,1.2477046999993036
pareto,policy_limit,1.4750000000538668,2.3966887073507137,0.9216887072968469,62.48736998394489,32,8,6,0.001,3.0,65536,1.2511006999993697
pareto,deductible_with_limit,0.4811111111370867,0.6090945010007794,0.12798338986369273,26.601628376698507,32,8,6,0.001,3.0,65536,1.2364949000002525
pareto,stop_loss,0.486,0.6145518271141757,0.12855182711417568,26.45099323336948,32,8,6,0.001,3.0,65536,1.2596948999998858
lognormal,ordinary_deductible,0.8579739047504147,0.8444439692741387,0.013529935476276012,1.5769635185130577,32,8,6,0.001,3.0,65536,1.2312841999992088
lognormal,franchise_deductible,1.3569725786927767,1.3602779239113252,0.0033053452185485277,0.24358231481233708,32,8,6,0.001,3.0,65536,1.2212643999991997
lognormal,policy_limit,1.4655262805158773,1.6255490330523754,0.16002275253649811,10.91913223693053,32,8,6,0.001,3.0,65536,1.2537663000002794
lognormal,deductible_with_limit,0.7484181837430338,0.7360651178885744,0.012353065854459389,1.6505566169809631,32,8,6,0.001,3.0,65536,1.2569034000007377
lognormal,stop_loss,0.8579739047504147,0.8444439692741387,0.013529935476276012,1.5769635185130577,32,8,6,0.001,3.0,65536,1.2931643000010808
gamma,ordinary_deductible,1.0943071914960318,1.1087376098276764,0.014430418331644601,1.318680754708074,32,8,6,0.001,3.0,65536,1.2873643999992055
gamma,franchise_deductible,1.829066071877044,1.9119304663415777,0.08286439446453375,4.530421056878266,32,8,6,0.001,3.0,65536,1.2149916999987909
gamma,policy_limit,1.9478343710072936,2.0540008409652004,0.1061664699579068,5.450487553672461,32,8,6,0.001,3.0,65536,1.2966142000004766
gamma,deductible_with_limit,1.0788083093197212,1.0946050333579922,0.015796724038271037,1.4642753399102193,32,8,6,0.001,3.0,65536,1.204880299999786
gamma,stop_loss,1.0943071914960318,1.1087376098276764,0.014430418331644601,1.318680754708074,32,8,6,0.001,3.0,65536,1.2185604000005696
weibull,ordinary_deductible,0.9256128274064236,1.2169740397198965,0.2913612123134729,31.477654985602342,32,8,6,0.001,3.0,65536,1.2657055999989097
weibull,franchise_deductible,1.6268013317246828,2.159595658950606,0.5327943272259232,32.7510383004833,32,8,6,0.001,3.0,65536,1.2401635000023816
weibull,policy_limit,1.7853605191923019,2.2992163613577405,0.5138558421654387,28.781629068279575,32,8,6,0.001,3.0,65536,1.258297099997435
weibull,deductible_with_limit,0.9234985804117545,1.214390273899438,0.2908916934876836,31.498878250358064,32,8,6,0.001,3.0,65536,1.2328826999982994
weibull,stop_loss,0.9256128274064236,1.2169740397198965,0.2913612123134729,31.477654985602342,32,8,6,0.001,3.0,65536,1.253655799999251
pareto,ordinary_deductible,0.486,0.6443851148169439,0.15838511481694395,32.58952979772509,32,8,7,0.001,3.0,32768,1.972428499997477
pareto,franchise_deductible,1.485,2.4159093475091087,0.9309093475091086,62.68749814876152,32,8,7,0.001,3.0,32768,1.9693702000004123
pareto,policy_limit,1.4750000000538668,2.5321890313976914,1.0571890313438246,71.67383263086211,32,8,7,0.001,3.0,32768,1.9485846000025049
pareto,deductible_with_limit,0.4811111111370867,0.6407681744211436,0.15965706328405693,33.18507088865894,32,8,7,0.001,3.0,32768,1.9567354999999225
pareto,stop_loss,0.486,0.6443851148169439,0.15838511481694395,32.58952979772509,32,8,7,0.001,3.0,32768,1.9861697000014829
lognormal,ordinary_deductible,0.8579739047504147,0.8995469063892304,0.04157300163881572,4.845485557152154,32,8,7,0.001,3.0,32768,1.936059399999067
lognormal,franchise_deductible,1.3569725786927767,1.4652918602984453,0.10831928160566862,7.9824222910986675,32,8,7,0.001,3.0,32768,1.9276189999982307
lognormal,policy_limit,1.4655262805158773,1.7139291311267377,0.24840285061086043,16.949737027125884,32,8,7,0.001,3.0,32768,1.928674200000387
lognormal,deductible_with_limit,0.7484181837430338,0.8019755827430626,0.05355739900002876,7.156079336845384,32,8,7,0.001,3.0,32768,1.9227972999979102
lognormal,stop_loss,0.8579739047504147,0.8995469063892304,0.04157300163881572,4.845485557152154,32,8,7,0.001,3.0,32768,1.9238616000002366
gamma,ordinary_deductible,1.0943071914960318,1.1264782116809053,0.0321710201848735,2.9398527611695915,32,8,7,0.001,3.0,32768,1.997209599998314
gamma,franchise_deductible,1.829066071877044,1.9651096940709507,0.13604362219390675,7.437873583992218,32,8,7,0.001,3.0,32768,1.9151020999997854
gamma,policy_limit,1.9478343710072936,2.1340807524720864,0.18624638146479278,9.561715525559714,32,8,7,0.001,3.0,32768,1.9311250999999174
gamma,deductible_with_limit,1.0788083093197212,1.1113907501866498,0.03258244086692863,3.0202252416348725,32,8,7,0.001,3.0,32768,1.9198808000001009
gamma,stop_loss,1.0943071914960318,1.1264782116809053,0.0321710201848735,2.9398527611695915,32,8,7,0.001,3.0,32768,1.9244032000024163
weibull,ordinary_deductible,0.9256128274064236,1.0387753454087725,0.11316251800234889,12.225686015980504,32,8,7,0.001,3.0,32768,1.945597900001303
weibull,franchise_deductible,1.6268013317246828,1.9108621448084089,0.2840608130837261,17.461309352542383,32,8,7,0.001,3.0,32768,1.9215898000002198
weibull,policy_limit,1.7853605191923019,2.1671881316880155,0.3818276124957136,21.386583179763193,32,8,7,0.001,3.0,32768,1.9238091999977769
weibull,deductible_with_limit,0.9234985804117545,1.0355170851262803,0.11201850471452579,12.129797174629203,32,8,7,0.001,3.0,32768,1.9188047000025108
weibull,stop_loss,0.9256128274064236,1.0387753454087725,0.11316251800234889,12.225686015980504,32,8,7,0.001,3.0,32768,1.9298430000017106
pareto,ordinary_deductible,0.486,0.6230647184254697,0.13706471842546974,28.2026169599732,32,8,7,0.001,3.0,65536,2.0540531999977247
pareto,franchise_deductible,1.485,2.3305647238199283,0.8455647238199282,56.940385442419405,32,8,7,0.001,3.0,65536,2.0503087999968557
pareto,policy_limit,1.4750000000538668,2.42381134085387,0.9488113408000034,64.32619259426122,32,8,7,0.001,3.0,65536,2.046733300001506
pareto,deductible_with_limit,0.4811111111370867,0.6212015196411534,0.14009040850406673,29.11809876370735,32,8,7,0.001,3.0,65536,2.0438530999999784
pareto,stop_loss,0.486,0.6230647184254697,0.13706471842546974,28.2026169599732,32,8,7,0.001,3.0,65536,2.053709499999968
lognormal,ordinary_deductible,0.8579739047504147,0.8818056598789972,0.023831755128582488,2.7776783182601767,32,8,7,0.001,3.0,65536,2.0363047999999253
