dist,payoff,exact,analytical_mean,analytical_err,N,M,noise_std,length_scale,F_sq,cond_XtX,n_eff_eigvals,min_phase_gap
weibull,policy_limit,1.7853605191923019,2.112732555216549,0.32737203602424714,8,2,0.001,2.0,5.665560206787876,6.315748697186884,2,0.72661718126416
weibull,deductible_with_limit,0.9234985804117545,1.3842378509603532,0.46073927054859876,8,2,0.001,2.0,5.665560206787876,6.315748697186884,2,0.72661718126416
weibull,stop_loss,0.9256128274064236,1.387857566847039,0.4622447394406154,8,2,0.001,2.0,5.665560206787876,6.315748697186884,2,0.72661718126416
pareto,ordinary_deductible,0.486,0.6524029853538083,0.16640298535380826,8,2,0.001,3.0,3.46748340144757,4.074077116657982,2,0.605839652410074
pareto,franchise_deductible,1.485,3.0668332460538985,1.5818332460538984,8,2,0.001,3.0,3.46748340144757,4.074077116657982,2,0.605839652410074
pareto,policy_limit,1.4750000000538668,3.9610975056207063,2.4860975055668395,8,2,0.001,3.0,3.46748340144757,4.074077116657982,2,0.605839652410074
pareto,deductible_with_limit,0.4811111111370867,0.6487348603869635,0.16762374924987677,8,2,0.001,3.0,3.46748340144757,4.074077116657982,2,0.605839652410074
pareto,stop_loss,0.486,0.6524029853538083,0.16640298535380826,8,2,0.001,3.0,3.46748340144757,4.074077116657982,2,0.605839652410074
lognormal,ordinary_deductible,0.8579739047504147,0.705301734397834,0.15267217035258074,8,2,0.001,3.0,3.0393467957574134,4.5547624713720065,2,0.6399486008074065
lognormal,franchise_deductible,1.3569725786927767,1.1833340608307186,0.17363851786205808,8,2,0.001,3.0,3.0393467957574134,4.5547624713720065,2,0.6399486008074065
lognormal,policy_limit,1.4655262805158773,1.8432079367116947,0.3776816561958174,8,2,0.001,3.0,3.0393467957574134,4.5547624713720065,2,0.6399486008074065
lognormal,deductible_with_limit,0.7484181837430338,0.5699562484282809,0.17846193531475296,8,2,0.001,3.0,3.0393467957574134,4.5547624713720065,2,0.6399486008074065
lognormal,stop_loss,0.8579739047504147,0.705301734397834,0.15267217035258074,8,2,0.001,3.0,3.0393467957574134,4.5547624713720065,2,0.6399486008074065
gamma,ordinary_deductible,1.0943071914960318,1.469171786073028,0.37486459457699617,8,2,0.001,3.0,5.471789453652256,7.186505012811257,2,0.7556955016982031
gamma,franchise_deductible,1.829066071877044,2.148048679981622,0.3189826081045779,8,2,0.001,3.0,5.471789453652256,7.186505012811257,2,0.7556955016982031
gamma,policy_limit,1.9478343710072936,2.0893574903617655,0.14152311935447193,8,2,0.001,3.0,5.471789453652256,7.186505012811257,2,0.7556955016982031
gamma,deductible_with_limit,1.0788083093197212,1.4607316985767802,0.38192338925705904,8,2,0.001,3.0,5.471789453652256,7.186505012811257,2,0.7556955016982031
gamma,stop_loss,1.0943071914960318,1.469171786073028,0.37486459457699617,8,2,0.001,3.0,5.471789453652256,7.186505012811257,2,0.7556955016982031
weibull,ordinary_deductible,0.9256128274064236,1.3878575047244455,0.4622446773180219,8,2,0.001,3.0,5.1583468418343355,10.403882920060424,2,0.8246211387805616
weibull,franchise_deductible,1.6268013317246828,2.1607202633301825,0.5339189316054997,8,2,0.001,3.0,5.1583468418343355,10.403882920060424,2,0.8246211387805616
weibull,policy_limit,1.7853605191923019,2.1127332256309357,0.3273727064386338,8,2,0.001,3.0,5.1583468418343355,10.403882920060424,2,0.8246211387805616
weibull,deductible_with_limit,0.9234985804117545,1.3842377913754864,0.46073921096373194,8,2,0.001,3.0,5.1583468418343355,10.403882920060424,2,0.8246211387805616
weibull,stop_loss,0.9256128274064236,1.3878575047244455,0.4622446773180219,8,2,0.001,3.0,5.1583468418343355,10.403882920060424,2,0.8246211387805616
